Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
T126G_S136_L002_R1_001	T126G_S136_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2579990.0	260.5 Mbp	0.0	101.0	35.0	86.26701553788166	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T127F_S125_L001_R1_001	T127F_S125_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4376087.0	441.9 Mbp	0.0	101.0	30.0	75.63565393400036	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T127F_S125_L002_R1_001	T127F_S125_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4424536.0	446.8 Mbp	0.0	101.0	30.0	76.02644242072896	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T127G_S137_L001_R1_001	T127G_S137_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2145397.0	216.6 Mbp	0.0	101.0	36.0	86.14488219398919	101.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	warn	fail
T127G_S137_L002_R1_001	T127G_S137_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2152889.0	217.4 Mbp	0.0	101.0	36.0	86.33451366168428	101.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	warn	fail
T128F_S126_L001_R1_001	T128F_S126_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3496730.0	353.1 Mbp	0.0	101.0	32.0	76.00684229752872	101.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
T128F_S126_L002_R1_001	T128F_S126_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3525304.0	356 Mbp	0.0	101.0	32.0	76.39624045123794	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T128G_S138_L001_R1_001	T128G_S138_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2722499.0	274.9 Mbp	0.0	101.0	35.0	84.27762651639982	101.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	warn	fail
T128G_S138_L002_R1_001	T128G_S138_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2736983.0	276.4 Mbp	0.0	101.0	35.0	84.62318015766776	101.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	warn	fail
T129F_S127_L001_R1_001	T129F_S127_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4454447.0	449.8 Mbp	0.0	101.0	32.0	72.2567830299533	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T129F_S127_L002_R1_001	T129F_S127_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4487307.0	453.2 Mbp	0.0	101.0	32.0	72.60647823825495	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T129G_S139_L001_R1_001	T129G_S139_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2770474.0	279.8 Mbp	0.0	101.0	35.0	85.65022418033273	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T129G_S139_L002_R1_001	T129G_S139_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2791072.0	281.8 Mbp	0.0	101.0	35.0	85.90716637432678	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T130F_S128_L001_R1_001	T130F_S128_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3142898.0	317.4 Mbp	0.0	101.0	36.0	70.0141138076043	101.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	fail	fail
T130F_S128_L002_R1_001	T130F_S128_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3143607.0	317.5 Mbp	0.0	101.0	36.0	70.62018471072308	101.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	fail	fail
T130G_S140_L001_R1_001	T130G_S140_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2762562.0	279 Mbp	0.0	101.0	35.0	84.47100618711524	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T130G_S140_L002_R1_001	T130G_S140_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2767646.0	279.5 Mbp	0.0	101.0	35.0	84.86640010115855	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T131F_S129_L001_R1_001	T131F_S129_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3916342.0	395.5 Mbp	0.0	101.0	34.0	76.08538771128026	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T131F_S129_L002_R1_001	T131F_S129_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3939466.0	397.8 Mbp	0.0	101.0	34.0	76.53195648151654	101.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
T131G_S141_L001_R1_001	T131G_S141_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3350716.0	338.4 Mbp	0.0	101.0	34.0	85.70220308437226	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T131G_S141_L002_R1_001	T131G_S141_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3370220.0	340.3 Mbp	0.0	101.0	34.0	85.92857418952629	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T132F_S130_L001_R1_001	T132F_S130_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3113068.0	314.4 Mbp	0.0	101.0	32.0	76.62181492540755	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T132F_S130_L002_R1_001	T132F_S130_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3121221.0	315.2 Mbp	0.0	101.0	32.0	76.82468646903479	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T132G_S142_L001_R1_001	T132G_S142_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2138248.0	215.9 Mbp	0.0	101.0	35.0	86.02366359744092	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T132G_S142_L002_R1_001	T132G_S142_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2141989.0	216.3 Mbp	0.0	101.0	35.0	86.45781927471367	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T133F_S131_L001_R1_001	T133F_S131_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2549618.0	257.5 Mbp	0.0	101.0	33.0	81.36713124430015	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T133F_S131_L002_R1_001	T133F_S131_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2561315.0	258.6 Mbp	0.0	101.0	33.0	81.56467651558185	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T133G_S143_L001_R1_001	T133G_S143_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3342699.0	337.6 Mbp	0.0	101.0	36.0	84.08007850723405	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T133G_S143_L002_R1_001	T133G_S143_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3348611.0	338.2 Mbp	0.0	101.0	36.0	84.43279995474259	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T134F_S132_L001_R1_001	T134F_S132_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3558980.0	359.4 Mbp	0.0	101.0	33.0	76.52577148987376	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T134F_S132_L002_R1_001	T134F_S132_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3574762.0	361 Mbp	0.0	101.0	33.0	76.96302888611518	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T134G_S144_L001_R1_001	T134G_S144_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2948211.0	297.7 Mbp	0.0	101.0	35.0	86.11834360599764	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T134G_S144_L002_R1_001	T134G_S144_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2951877.0	298.1 Mbp	0.0	101.0	35.0	86.34050279651039	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T135F_S133_L001_R1_001	T135F_S133_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3778461.0	381.6 Mbp	0.0	101.0	32.0	78.06129888961836	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T135F_S133_L002_R1_001	T135F_S133_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3808328.0	384.6 Mbp	0.0	101.0	32.0	78.35516370184263	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T135G_S145_L001_R1_001	T135G_S145_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2488023.0	251.2 Mbp	0.0	101.0	35.0	84.9988142577072	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T135G_S145_L002_R1_001	T135G_S145_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2495231.0	252 Mbp	0.0	101.0	35.0	85.17870915457956	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T136F_S134_L001_R1_001	T136F_S134_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3452397.0	348.6 Mbp	0.0	101.0	32.0	79.09920243661945	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T136F_S134_L002_R1_001	T136F_S134_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3474289.0	350.9 Mbp	0.0	101.0	32.0	79.58213918301321	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T136G_S146_L001_R1_001	T136G_S146_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2462159.0	248.6 Mbp	0.0	101.0	35.0	84.35553487756579	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T136G_S146_L002_R1_001	T136G_S146_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2473966.0	249.8 Mbp	0.0	101.0	35.0	84.6179827186851	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T137F_S135_L001_R1_001	T137F_S135_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3447346.0	348.1 Mbp	0.0	101.0	32.0	76.49304382704524	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T137F_S135_L002_R1_001	T137F_S135_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3470048.0	350.4 Mbp	0.0	101.0	32.0	76.69649568949856	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T137G_S147_L001_R1_001	T137G_S147_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2841068.0	286.9 Mbp	0.0	101.0	34.0	87.8294605413521	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T137G_S147_L002_R1_001	T137G_S147_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2855293.0	288.3 Mbp	0.0	101.0	34.0	88.10355025165191	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
