Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
T009G_S120_L001_R1_001	T009G_S120_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3151860.0	318.3 Mbp	0.0	101.0	34.0	84.926618737738	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T009G_S120_L002_R1_001	T009G_S120_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3164440.0	319.6 Mbp	0.0	101.0	34.0	85.1355158204466	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T010FX_S228_L001_R1_001	T010FX_S228_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2578252.0	260.4 Mbp	0.0	101.0	34.0	77.66313893089041	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T010FX_S228_L002_R1_001	T010FX_S228_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2589657.0	261.5 Mbp	0.0	101.0	34.0	78.03167804017501	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T010F_S109_L001_R1_001	T010F_S109_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3077604.0	310.8 Mbp	0.0	101.0	37.0	72.52100329278389	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T010F_S109_L002_R1_001	T010F_S109_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3085237.0	311.6 Mbp	0.0	101.0	37.0	72.89513736287122	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T010G_S121_L001_R1_001	T010G_S121_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2678522.0	270.5 Mbp	0.0	101.0	34.0	85.37385962009782	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T010G_S121_L002_R1_001	T010G_S121_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2683541.0	271 Mbp	0.0	101.0	34.0	85.6297361121621	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T011FX_S229_L001_R1_001	T011FX_S229_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2824472.0	285.2 Mbp	0.0	101.0	33.0	78.01156619429177	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T011FX_S229_L002_R1_001	T011FX_S229_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2834813.0	286.3 Mbp	0.0	101.0	33.0	78.25572623572987	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T011F_S110_L001_R1_001	T011F_S110_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2508218.0	253.3 Mbp	0.0	101.0	33.0	76.35083609960482	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T011F_S110_L002_R1_001	T011F_S110_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2520516.0	254.5 Mbp	0.0	101.0	33.0	76.74974757779904	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
