Sample	Unique Reads	Duplicate Reads
T033G_S210_L001_R1_001	1883865.0	329110.0
T033G_S210_L002_R1_001	1890407.0	328023.0
T034F_S199_L001_R1_001	2407062.0	695141.0
T034F_S199_L002_R1_001	2438212.0	676100.0
T034G_S211_L001_R1_001	2326445.0	399283.0
T034G_S211_L002_R1_001	2336847.0	398287.0
T035F_S200_L001_R1_001	2281896.0	592147.0
T035F_S200_L002_R1_001	2300733.0	580817.0
T035G_S212_L001_R1_001	2003426.0	348618.0
T035G_S212_L002_R1_001	2004960.0	347577.0
T036F_S201_L001_R1_001	2053539.0	634093.0
T036F_S201_L002_R1_001	2080452.0	616808.0
T036G_S213_L001_R1_001	1991162.0	335352.0
T036G_S213_L002_R1_001	2002827.0	330287.0
T037F_S202_L001_R1_001	2305565.0	764590.0
T037F_S202_L002_R1_001	2327112.0	757909.0
T037G_S214_L001_R1_001	1966599.0	315794.0
T037G_S214_L002_R1_001	1976972.0	313160.0
T038F_S203_L001_R1_001	2183835.0	624986.0
T038F_S203_L002_R1_001	2205920.0	612446.0
T038G_S215_L001_R1_001	2511298.0	447455.0
T038G_S215_L002_R1_001	2531777.0	438933.0
T039F_S204_L001_R1_001	2915291.0	804005.0
T039F_S204_L002_R1_001	2954716.0	791511.0
T039G_S216_L001_R1_001	1823841.0	341817.0
T039G_S216_L002_R1_001	1833245.0	337273.0
T040F_S205_L001_R1_001	3165599.0	748770.0
T040F_S205_L002_R1_001	3195013.0	742706.0
T040G_S217_L001_R1_001	2321084.0	440562.0
T040G_S217_L002_R1_001	2341129.0	429422.0
T041F_S206_L001_R1_001	2886923.0	858379.0
T041F_S206_L002_R1_001	2922649.0	840570.0
T041G_S218_L001_R1_001	2312225.0	415555.0
T041G_S218_L002_R1_001	2318448.0	407235.0
T046F_S148_L001_R1_001	2612223.0	813098.0
T046F_S148_L002_R1_001	2633652.0	806725.0
T046G_S159_L001_R1_001	2373938.0	441170.0
T046G_S159_L002_R1_001	2383461.0	439833.0
T047G_S160_L001_R1_001	2555883.0	446199.0
T047G_S160_L002_R1_001	2566308.0	441040.0
T049F_S149_L001_R1_001	3041088.0	1105308.0
T049F_S149_L002_R1_001	3080603.0	1088677.0
T049G_S161_L001_R1_001	2173825.0	366430.0
T049G_S161_L002_R1_001	2190614.0	359857.0
T051F_S150_L001_R1_001	1282590.0	1018733.0
T051F_S150_L002_R1_001	1296002.0	1006285.0
T051G_S162_L001_R1_001	855770.0	1532284.0
T051G_S162_L002_R1_001	868457.0	1498327.0
T052F_S151_L001_R1_001	2964592.0	916344.0
T052F_S151_L002_R1_001	2991493.0	906342.0
T052G_S163_L001_R1_001	1971744.0	326012.0
T052G_S163_L002_R1_001	1978093.0	325127.0
T055F_S152_L001_R1_001	2796529.0	821447.0
T055F_S152_L002_R1_001	2816852.0	815991.0
T055G_S164_L001_R1_001	2337848.0	359855.0
T055G_S164_L002_R1_001	2341568.0	357053.0
T056F_S153_L001_R1_001	2222677.0	610676.0
T056F_S153_L002_R1_001	2247212.0	597015.0
T056G_S165_L001_R1_001	2378170.0	387648.0
T056G_S165_L002_R1_001	2392288.0	388646.0
T057F_S154_L001_R1_001	3263040.0	1069051.0
T057F_S154_L002_R1_001	3305011.0	1060658.0
T057G_S166_L001_R1_001	2698539.0	484156.0
T057G_S166_L002_R1_001	2718591.0	478288.0
T058F_S155_L001_R1_001	3006112.0	776203.0
T058F_S155_L002_R1_001	3037042.0	763239.0
T058G_S167_L001_R1_001	2892248.0	493197.0
T058G_S167_L002_R1_001	2908743.0	491727.0
T110F_S156_L001_R1_001	2605158.0	677468.0
T110F_S156_L002_R1_001	2634598.0	676332.0
T110G_S168_L001_R1_001	2324455.0	376780.0
T110G_S168_L002_R1_001	2338348.0	375318.0
T111F_S157_L001_R1_001	2982026.0	916050.0
T111F_S157_L002_R1_001	3015480.0	908269.0
T111G_S169_L001_R1_001	1390712.0	204223.0
T111G_S169_L002_R1_001	1398655.0	201230.0
T112F_S158_L001_R1_001	2496412.0	728515.0
T112F_S158_L002_R1_001	2519760.0	714660.0
T112G_S170_L001_R1_001	2672509.0	449972.0
T112G_S170_L002_R1_001	2685380.0	452675.0
T118F_S181_L001_R1_001	1971594.0	557677.0
T118F_S181_L002_R1_001	1989612.0	550477.0
T118G_S193_L001_R1_001	1875779.0	310570.0
T118G_S193_L002_R1_001	1876068.0	306883.0
T119F_S182_L001_R1_001	2414394.0	862444.0
T119F_S182_L002_R1_001	2445989.0	850624.0
T119G_S194_L001_R1_001	2452672.0	483366.0
T119G_S194_L002_R1_001	2477875.0	466280.0
T126F_S124_L001_R1_001	2585622.0	1042820.0
T126F_S124_L002_R1_001	2630241.0	1024632.0
T126G_S136_L001_R1_001	2204613.0	360463.0
T126G_S136_L002_R1_001	2225681.0	354309.0
T127F_S125_L001_R1_001	3309883.0	1066204.0
T127F_S125_L002_R1_001	3363818.0	1060718.0
T127G_S137_L001_R1_001	1848150.0	297247.0
T127G_S137_L002_R1_001	1858687.0	294202.0
T128F_S126_L001_R1_001	2657755.0	838975.0
T128F_S126_L002_R1_001	2693200.0	832104.0
T128G_S138_L001_R1_001	2294458.0	428041.0
T128G_S138_L002_R1_001	2316123.0	420860.0
T129F_S127_L001_R1_001	3218641.0	1235806.0
T129F_S127_L002_R1_001	3258076.0	1229231.0
T129G_S139_L001_R1_001	2372918.0	397556.0
T129G_S139_L002_R1_001	2397731.0	393341.0
T130F_S128_L001_R1_001	2200473.0	942425.0
T130F_S128_L002_R1_001	2220022.0	923585.0
T130G_S140_L001_R1_001	2333564.0	428998.0
T130G_S140_L002_R1_001	2348802.0	418844.0
T131F_S129_L001_R1_001	2979764.0	936578.0
T131F_S129_L002_R1_001	3014951.0	924515.0
T131G_S141_L001_R1_001	2871638.0	479078.0
T131G_S141_L002_R1_001	2895982.0	474238.0
T132F_S130_L001_R1_001	2385290.0	727778.0
T132F_S130_L002_R1_001	2397869.0	723352.0
T132G_S142_L001_R1_001	1839400.0	298848.0
T132G_S142_L002_R1_001	1851917.0	290072.0
T133F_S131_L001_R1_001	2074552.0	475066.0
T133F_S131_L002_R1_001	2089129.0	472186.0
T133G_S143_L001_R1_001	2810544.0	532155.0
T133G_S143_L002_R1_001	2827327.0	521284.0
T134F_S132_L001_R1_001	2723537.0	835443.0
T134F_S132_L002_R1_001	2751246.0	823516.0
T134G_S144_L001_R1_001	2538951.0	409260.0
T134G_S144_L002_R1_001	2548666.0	403211.0
T135F_S133_L001_R1_001	2949516.0	828945.0
T135F_S133_L002_R1_001	2984022.0	824306.0
T135G_S145_L001_R1_001	2114791.0	373232.0
T135G_S145_L002_R1_001	2125406.0	369825.0
T136F_S134_L001_R1_001	2730819.0	721578.0
T136F_S134_L002_R1_001	2764914.0	709375.0
T136G_S146_L001_R1_001	2076968.0	385191.0
T136G_S146_L002_R1_001	2093421.0	380545.0
T137F_S135_L001_R1_001	2636980.0	810366.0
T137F_S135_L002_R1_001	2661406.0	808642.0
T137G_S147_L001_R1_001	2495295.0	345773.0
T137G_S147_L002_R1_001	2515615.0	339678.0
