CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
45	32493	4310684	0.75	4343177
46	33650	4317657	0.77	4351307
47	33790	4308807	0.78	4342597
48	33732	4319900	0.77	4353632
49	33559	4324302	0.77	4357861
50	33830	4314536	0.78	4348366
51	34628	4314363	0.80	4348991
52	34511	4311287	0.79	4345798
53	35247	4304621	0.81	4339868
54	35907	4293977	0.83	4329884
55	34887	4302363	0.80	4337250
56	34687	4306370	0.80	4341057
57	35393	4302887	0.82	4338280
58	35413	4310103	0.81	4345516
59	36071	4300808	0.83	4336879
60	35841	4306760	0.83	4342601
61	36111	4306348	0.83	4342459
62	36504	4291134	0.84	4327638
63	36373	4292226	0.84	4328599
64	36949	4301740	0.85	4338689
65	37461	4302017	0.86	4339478
66	37559	4305834	0.86	4343393
67	37078	4303300	0.85	4340378
68	36971	4305656	0.85	4342627
69	38502	4302090	0.89	4340592
70	39212	4298704	0.90	4337916
71	39149	4287517	0.90	4326666
72	39319	4287330	0.91	4326649
73	39621	4287417	0.92	4327038
74	39801	4288103	0.92	4327904
75	40522	4286038	0.94	4326560
76	41479	4295781	0.96	4337260
77	42099	4286143	0.97	4328242
78	42372	4282109	0.98	4324481
79	43035	4283247	0.99	4326282
80	43455	4272953	1.01	4316408
81	44022	4269573	1.02	4313595
82	45153	4278790	1.04	4323943
83	46193	4272571	1.07	4318764
84	46851	4274462	1.08	4321313
85	47204	4278014	1.09	4325218
86	48360	4261529	1.12	4309889
87	49618	4264086	1.15	4313704
88	50772	4248759	1.18	4299531
89	51444	4242062	1.20	4293506
90	52498	4234438	1.22	4286936
91	53838	4239516	1.25	4293354
92	55382	4236422	1.29	4291804
93	55984	4232843	1.31	4288827
94	58304	4242252	1.36	4300556
95	59810	4221926	1.40	4281736
96	62003	4211202	1.45	4273205
97	62673	4208299	1.47	4270972
98	64392	4207445	1.51	4271837
99	66529	4202267	1.56	4268796
100	68598	4203171	1.61	4271769
101	71241	4184714	1.67	4255955
102	73105	4175590	1.72	4248695
103	75556	4184591	1.77	4260147
104	77492	4173760	1.82	4251252
105	80898	4168089	1.90	4248987
106	84511	4162427	1.99	4246938
107	87872	4154616	2.07	4242488
108	94764	4159661	2.23	4254425
109	97831	4147987	2.30	4245818
110	101634	4132684	2.40	4234318
111	106585	4121876	2.52	4228461

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	71372	535811	11.75	607183
2	70679	528400	11.80	599079
3	69745	527024	11.69	596769
4	69938	525369	11.75	595307
5	69089	522841	11.67	591930
6	69559	521746	11.76	591305
7	68898	519869	11.70	588767
8	68715	519450	11.68	588165
9	68303	518605	11.64	586908
10	68253	516725	11.67	584978
11	67527	518361	11.53	585888
12	67831	516630	11.61	584461
13	67795	513847	11.66	581642
14	67036	513030	11.56	580066
15	66926	509481	11.61	576407
16	66205	506431	11.56	572636
17	65972	504317	11.57	570289
18	65638	504793	11.51	570431
19	65234	498707	11.57	563941
20	64537	496271	11.51	560808
21	64583	494760	11.55	559343
22	64283	489834	11.60	554117
23	63832	486612	11.60	550444
24	62688	483287	11.48	545975
25	63025	479117	11.63	542142
26	62579	475563	11.63	538142
27	61830	471602	11.59	533432
28	61162	468015	11.56	529177
29	60354	463366	11.52	523720
30	59798	460065	11.50	519863
31	59460	456968	11.51	516428
32	58649	451696	11.49	510345
33	58386	448181	11.53	506567
34	58176	444069	11.58	502245
35	57486	439772	11.56	497258
36	57234	436526	11.59	493760
37	56364	431387	11.56	487751
38	55582	428058	11.49	483640
39	55534	423380	11.60	478914
40	54744	420595	11.52	475339
41	54357	416928	11.53	471285
42	53934	411837	11.58	465771
43	53411	407643	11.58	461054
44	52897	404384	11.57	457281
45	52010	400342	11.50	452352
46	51376	396322	11.48	447698
47	50970	392687	11.49	443657
48	50436	389255	11.47	439691
49	50238	384369	11.56	434607
50	49571	381220	11.51	430791
51	48925	376189	11.51	425114
52	48902	372595	11.60	421497
53	48101	366793	11.59	414894
54	47176	364546	11.46	411722
55	47070	360119	11.56	407189
56	46370	356254	11.52	402624
57	45808	351431	11.53	397239
58	45467	348951	11.53	394418
59	44836	344823	11.51	389659
60	44589	340429	11.58	385018
61	43764	335721	11.53	379485
62	43250	332801	11.50	376051
63	42885	328333	11.55	371218
64	42310	325690	11.50	368000
65	42092	320533	11.61	362625
66	41587	317782	11.57	359369
67	41244	314071	11.61	355315
68	40729	310253	11.60	350982
69	40199	306321	11.60	346520
70	39291	303488	11.46	342779
71	39035	300172	11.51	339207
72	38650	296275	11.54	334925
73	38279	291877	11.59	330156
74	37915	288490	11.62	326405
75	37497	285468	11.61	322965
76	37272	282324	11.66	319596
77	36192	279253	11.47	315445
78	35729	275381	11.48	311110
79	35205	272985	11.42	308190
80	35011	269613	11.49	304624
81	34564	267166	11.46	301730
82	34177	263282	11.49	297459
83	34046	260132	11.57	294178
84	33055	255952	11.44	289007
85	33117	253107	11.57	286224
86	32604	249639	11.55	282243
87	32490	246851	11.63	279341
88	31542	244845	11.41	276387
89	31161	241187	11.44	272348
90	30971	239390	11.46	270361
91	30341	234846	11.44	265187
92	30057	232596	11.44	262653
93	29824	230186	11.47	260010
94	29478	227525	11.47	257003
95	29285	224800	11.53	254085
96	28852	222864	11.46	251716
97	28487	219629	11.48	248116
98	28259	216834	11.53	245093
99	27831	213335	11.54	241166
100	27203	210643	11.44	237846
101	26948	208147	11.46	235095
102	26875	206135	11.53	233010
103	26284	203941	11.42	230225
104	25928	201384	11.41	227312
105	25611	198704	11.42	224315
106	25694	196135	11.58	221829
107	25074	193868	11.45	218942
108	24451	191298	11.33	215749
109	24218	189976	11.31	214194
110	24170	188269	11.38	212439
111	23785	185269	11.38	209054

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	10971	812931	1.33	823902
2	10193	815731	1.23	825924
3	7602	806133	0.93	813735
4	6988	803549	0.86	810537
5	6463	801047	0.80	807510
6	5889	798673	0.73	804562
7	5543	795774	0.69	801317
8	5401	791595	0.68	796996
9	5138	791424	0.65	796562
10	5215	789781	0.66	794996
11	4979	787466	0.63	792445
12	4997	787337	0.63	792334
13	4768	785030	0.60	789798
14	4838	781519	0.62	786357
15	4777	777617	0.61	782394
16	4656	772448	0.60	777104
17	4695	772221	0.60	776916
18	4452	768156	0.58	772608
19	4469	765419	0.58	769888
20	4599	759988	0.60	764587
21	4484	755087	0.59	759571
22	4519	752433	0.60	756952
23	4295	745840	0.57	750135
24	4249	741484	0.57	745733
25	4333	735199	0.59	739532
26	4415	729522	0.60	733937
27	4297	726162	0.59	730459
28	4404	718811	0.61	723215
29	4196	714327	0.58	718523
30	4032	708660	0.57	712692
31	4206	702317	0.60	706523
32	4141	697352	0.59	701493
33	4153	690772	0.60	694925
34	4369	686035	0.63	690404
35	3904	679496	0.57	683400
36	3844	672261	0.57	676105
37	3853	666488	0.57	670341
38	3762	662236	0.56	665998
39	3995	654953	0.61	658948
40	3854	649002	0.59	652856
41	3800	642409	0.59	646209
42	3951	638030	0.62	641981
43	3762	628746	0.59	632508
44	3610	624242	0.57	627852
45	3653	618147	0.59	621800
46	3472	612953	0.56	616425
47	3491	606633	0.57	610124
48	3517	601590	0.58	605107
49	3404	594321	0.57	597725
50	3490	588062	0.59	591552
51	3399	581077	0.58	584476
52	3420	576599	0.59	580019
53	3492	566467	0.61	569959
54	3225	562778	0.57	566003
55	3445	557428	0.61	560873
56	3252	550977	0.59	554229
57	3036	546646	0.55	549682
58	3212	539934	0.59	543146
59	3090	533142	0.58	536232
60	3004	527398	0.57	530402
61	3065	521666	0.58	524731
62	2969	514971	0.57	517940
63	3000	509797	0.59	512797
64	2882	504524	0.57	507406
65	3001	498095	0.60	501096
66	2932	493742	0.59	496674
67	2848	488091	0.58	490939
68	2732	480741	0.57	483473
69	2809	476316	0.59	479125
70	2871	469804	0.61	472675
71	2746	464560	0.59	467306
72	2809	460242	0.61	463051
73	2865	452972	0.63	455837
74	2896	449152	0.64	452048
75	2829	441030	0.64	443859
76	2766	436736	0.63	439502
77	2700	435278	0.62	437978
78	2597	426997	0.60	429594
79	2528	422586	0.59	425114
80	2534	418921	0.60	421455
81	2509	414228	0.60	416737
82	2470	408806	0.60	411276
83	2442	404604	0.60	407046
84	2296	399804	0.57	402100
85	2361	394485	0.59	396846
86	2316	388640	0.59	390956
87	2263	385111	0.58	387374
88	2320	380917	0.61	383237
89	2275	377026	0.60	379301
90	2260	370655	0.61	372915
91	2248	367869	0.61	370117
92	2166	363082	0.59	365248
93	2103	358054	0.58	360157
94	2209	354990	0.62	357199
95	2071	348766	0.59	350837
96	2126	345631	0.61	347757
97	2037	341698	0.59	343735
98	2008	338071	0.59	340079
99	2062	333763	0.61	335825
100	1920	329459	0.58	331379
101	1923	325723	0.59	327646
102	1905	320111	0.59	322016
103	1874	317742	0.59	319616
104	1989	313816	0.63	315805
105	1861	310334	0.60	312195
106	1838	305460	0.60	307298
107	1816	302400	0.60	304216
108	1824	298171	0.61	299995
109	1908	294877	0.64	296785
110	1860	291583	0.63	293443
111	1833	289208	0.63	291041

CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	47829	3850107	1.23	3897936
2	43855	3837662	1.13	3881517
3	40955	3822352	1.06	3863307
4	38234	3803780	1.00	3842014
5	35319	3773387	0.93	3808706
6	33620	3747733	0.89	3781353
7	31740	3723058	0.85	3754798
8	30486	3706015	0.82	3736501
9	29690	3686146	0.80	3715836
10	29688	3668418	0.80	3698106
11	27976	3657739	0.76	3685715
12	26927	3636807	0.73	3663734
13	26675	3623114	0.73	3649789
14	25901	3603227	0.71	3629128
15	26021	3580378	0.72	3606399
16	25436	3549449	0.71	3574885
17	24965	3541672	0.70	3566637
18	24432	3517035	0.69	3541467
19	24535	3498636	0.70	3523171
20	24025	3477161	0.69	3501186
21	23839	3449877	0.69	3473716
22	23681	3429840	0.69	3453521
23	23548	3402282	0.69	3425830
24	23157	3379149	0.68	3402306
25	22836	3351597	0.68	3374433
26	23675	3317280	0.71	3340955
27	23106	3298017	0.70	3321123
28	22963	3274404	0.70	3297367
29	22138	3246207	0.68	3268345
30	21971	3222659	0.68	3244630
31	22759	3193787	0.71	3216546
32	21781	3170784	0.68	3192565
33	22575	3134176	0.72	3156751
34	23002	3110177	0.73	3133179
35	21557	3082981	0.69	3104538
36	20974	3058759	0.68	3079733
37	21029	3025779	0.69	3046808
38	21137	2993412	0.70	3014549
39	21029	2970765	0.70	2991794
40	20281	2941800	0.68	2962081
41	20358	2913260	0.69	2933618
42	20896	2889763	0.72	2910659
43	20751	2858996	0.72	2879747
44	19500	2829097	0.68	2848597
45	19477	2799431	0.69	2818908
46	19500	2773566	0.70	2793066
47	18959	2743858	0.69	2762817
48	18973	2715173	0.69	2734146
49	18858	2691979	0.70	2710837
50	18499	2660848	0.69	2679347
51	18270	2631009	0.69	2649279
52	18814	2605539	0.72	2624353
53	18978	2572900	0.73	2591878
54	17763	2551205	0.69	2568968
55	18065	2521774	0.71	2539839
56	17650	2494672	0.70	2512322
57	16947	2468948	0.68	2485895
58	17307	2440691	0.70	2457998
59	16804	2411551	0.69	2428355
60	16632	2386448	0.69	2403080
61	16637	2362329	0.70	2378966
62	16609	2334042	0.71	2350651
63	16212	2307505	0.70	2323717
64	16217	2283222	0.71	2299439
65	16243	2250332	0.72	2266575
66	15647	2229352	0.70	2244999
67	15619	2205398	0.70	2221017
68	15545	2178457	0.71	2194002
69	15346	2155821	0.71	2171167
70	15330	2131764	0.71	2147094
71	15142	2106478	0.71	2121620
72	15070	2081520	0.72	2096590
73	15432	2055127	0.75	2070559
74	15754	2034718	0.77	2050472
75	15634	2006950	0.77	2022584
76	15111	1981736	0.76	1996847
77	14912	1965625	0.75	1980537
78	14360	1939079	0.74	1953439
79	13740	1918671	0.71	1932411
80	13782	1898974	0.72	1912756
81	14121	1875687	0.75	1889808
82	13617	1853769	0.73	1867386
83	13579	1831398	0.74	1844977
84	13508	1812513	0.74	1826021
85	13098	1790717	0.73	1803815
86	13050	1769683	0.73	1782733
87	12756	1745592	0.73	1758348
88	12771	1727672	0.73	1740443
89	12743	1704795	0.74	1717538
90	12627	1686039	0.74	1698666
91	12613	1666032	0.75	1678645
92	12550	1645845	0.76	1658395
93	12289	1627441	0.75	1639730
94	12376	1608813	0.76	1621189
95	12302	1588650	0.77	1600952
96	12226	1568991	0.77	1581217
97	11854	1551536	0.76	1563390
98	11934	1530372	0.77	1542306
99	11944	1510832	0.78	1522776
100	11596	1493444	0.77	1505040
101	11555	1479738	0.77	1491293
102	11358	1459045	0.77	1470403
